CustomerID,Name,Email,SignupDate,Country,Age,SpendingScore,AnnualIncome,IsSubscribed
e7e55a25-589d-44f7-b86a-c5f85ebcfe3e,Edward Stevenson,ericaowen@miller-ferrell.com,2025-03-31,Comoros,18,17,60427,False
1366b9fb-51d9-4e9c-b3a6-36022e1d0c9d,Scott Campbell,ifisher@hotmail.com,2024-08-09,Panama,52,55,67669,False
341abcf8-94ff-4127-9e40-a6de8dc84a40,Mr. George Stafford,dylan81@hotmail.com,2023-08-02,Hungary,20,61,105230,False
c76ab336-2b6f-4087-9d1b-14a541286564,Mr. David Smith,xperry@hotmail.com,2023-11-08,Canada,68,22,39006,False
3c779088-6e9a-42e8-a45c-33053ad192e2,Taylor Ferguson,bakereric@mathis.com,2025-02-07,Brunei Darussalam,55,50,25645,True
33fb9b8e-dca2-4065-9529-fed4b17dad9b,Michael Lewis,richardyoung@hotmail.com,2023-12-25,Burundi,47,94,91656,False
fcd874ad-063f-48d6-ae6c-341e8b6a9da0,Sarah Randolph,gschmidt@yahoo.com,2023-11-12,Taiwan,28,38,42723,True
4f50c324-76e3-44bb-9f45-0f2a343add5f,Luis Mcbride,hayden33@love.com,2024-03-30,Venezuela,62,3,95746,False
05929f6e-468b-44e1-98d2-3ec5275b9489,Charles Rogers MD,amccormick@gmail.com,2025-02-12,Antarctica (the territory South of 60 deg S),26,53,56217,True
a4fbfa33-fa20-4548-ad4c-40658f150ffe,James Richards,lisa45@hotmail.com,2024-06-28,Belize,28,44,52973,True
9fa2b4f5-9ba5-49e3-82c1-f326c0a98df5,Michael Mckay,gabriel72@johnson.biz,2024-03-16,Congo,33,45,66702,True
59bcfcd0-25ee-4f8d-a676-5a8d633617f7,Sheila Valencia,katherine45@robinson.biz,2025-04-17,New Zealand,34,64,99182,True
1c6b1a44-8b45-4c7f-9d8b-e5cd4e66e26c,Jessica Martinez,michaelgreene@gmail.com,2023-08-27,Heard Island and McDonald Islands,26,82,115598,True
acbec0a2-81f2-41ca-b382-ea69ea1e241b,Sue Graham,ipena@jordan-booker.info,2025-03-23,Dominica,58,68,94086,True
363183ec-4a6f-43dc-b1f1-44b5413449c0,Michael Campbell,hwilliams@gmail.com,2025-01-31,Cook Islands,41,22,116597,False
01747532-4ebb-40d4-a6f8-8742e0b4cbc0,Darryl Summers,daniel44@gmail.com,2025-01-06,Sierra Leone,46,73,40720,False
5d7486f1-97f2-4e8d-a12a-374f99e8ed7f,James Cherry,paynejustin@gmail.com,2023-09-14,Palestinian Territory,28,44,72546,False
9a35533b-7045-42ad-b9fb-7eae322f89ae,Joshua Richards,michaelcarr@hutchinson.info,2025-02-10,Gambia,69,82,116884,False
7f6ade7a-828f-43b5-9b92-a251b971496e,Jason Blackwell,uadams@harris.com,2023-10-01,Bulgaria,68,44,94083,True
4848a478-aa7b-4f92-9c86-b1a071530bc1,Sarah Randall,rachelward@rasmussen.biz,2024-12-19,Uzbekistan,52,5,99711,True
4bc774a7-464d-477e-a885-bc0dab4806ca,Rebecca Richardson,lawrence02@yahoo.com,2024-05-09,Seychelles,39,8,119325,True
